FundingOrgName,ProjectReference,LeadROName,Department,ProjectCategory,PISurname,PIFirstName,PIOtherNames,PI ORCID iD,StudentSurname,StudentFirstName,StudentOtherNames,Student ORCID iD,Title,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region,Status,GTRProjectUrl,ProjectId,FundingOrgId,LeadROId,PIId,fullname
EPSRC,EP/E02677X/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Veres,Sandor,Mihaly,,,,,,METHODS OF RELIABILITY-CONTROL FOR AUTONOMOUS UNDERWATER VEHICLES,2007-01-11,2007-01-11,307258.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/E02677X/1,CA288397-7967-496A-B094-CEE213BA5270,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,EC3EA414-946F-47B4-8129-DE76D17463A5,"Veres, Sandor Mihaly"
STFC,ST/S505705/1,University of Southampton,School of Physics and Astronomy,Training Grant,,,,,,,,,STFC Southampton 2018 DTP,2018-01-10,2018-01-10,305639.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=ST/S505705/1,345D4814-AF85-4E11-B5F6-6FAA39612310,D7F4F462-0518-4784-908A-D12633C139B3,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
ESRC,ES/S501578/1,University of Southampton,"Sch of Economic, Social & Political Sci",Training Grant,,,,,,,,,South Coast DTP Industrial Strategy 2018,2018-01-10,2018-01-10,305168.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=ES/S501578/1,D8F559E8-3D7D-46CE-8C7D-1C2179D20AC5,924BE15C-91F2-4AAD-941A-3F338324B6AE,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
NERC,NE/H016856/1,University of Southampton,Faculty of Engineering & the Environment,Fellowship,Czerski,Helen,,,,,,,"The influence of surfactants on the mechanisms of ocean bubble generation, and the consequences for air-sea gas transfer.",2010-04-10,2010-04-10,305156.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=NE/H016856/1,0D422C6F-3660-4620-AC23-5E9B6494A95F,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,30A429E3-83B7-4E41-99C0-14A144F07DFE,48D5D066-29CC-4AAA-82A8-B3FCD9455122,
EPSRC,EP/T00360X/1,University of Southampton,Southampton Business School,Research Grant,Onggo,Bhakti,Satyabudhi,http://orcid.org/0000-0001-5899-304X,,,,,Designing a resilient relief supply network for natural disasters in West Java Indonesia using optimisation-via-simulation: Relief-OpS,2019-01-10,2019-01-10,305087.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/T00360X/1,2D4E48FF-BA9A-4C4D-8E18-B6FA2EC93031,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,8B471B0B-BE18-4158-8FD5-5B9F80814A0C,"Onggo, Bhakti Satyabudhi"
EPSRC,EP/C013956/1,University of Southampton,Optoelectronics Research Centre,Research Grant,Smith,Peter,George,,,,,,Engineered photonic qubits for integrated optical quantum computing networks,2006-01-01,2006-01-01,303738.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/C013956/1,A208F088-D692-4954-9C82-EF72F5961866,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,6EDF5DD8-B4AA-4C85-9F3C-27BAE6178EFE,"Smith, Peter George"
EPSRC,EP/F044445/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Bavykin,Dmitry,V.,http://orcid.org/0000-0001-9458-5289,,,,,The hydrothermal route to metal oxide nanotubes: synthesis and energy conversion application. A First Grant Proposal,2008-09-15,2008-09-15,303406.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/F044445/1,DB4877F0-5497-47F9-9D75-C6C12DBBCCDC,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,6A21446E-4A6A-4BED-B2BD-ED08FC36F4EB,"Bavykin, Dmitry V."
MRC,MR/R005621/1,University of Southampton,Sch of Biological Sciences,Research Grant,Webb,Jeremy,Stephen,,,,,,"Partnership against Biofilm-associated Expression, Acquisition and Transmission of AMR",2017-01-10,2017-01-10,303158.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=MR/R005621/1,A0824391-7984-47B7-B199-850E5E161950,C008C651-F5B0-4859-A334-5F574AB6B57C,30A429E3-83B7-4E41-99C0-14A144F07DFE,21E13937-D928-40A1-B604-5D435BAF84FF,"Webb, Jeremy Stephen"
NERC,NE/K014137/1,University of Southampton,School of Ocean and Earth Science,Research Grant,Wilson,Paul,Alastair,,,,,,The paradox of high-amplitude inter(glacial) variability across the Oligo-Miocene transition tackled using spectacular new deep-sea sediment archives,2014-03-31,2014-03-31,302189.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=NE/K014137/1,DF82B038-9577-47C7-A85A-E128A96F9BF2,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,30A429E3-83B7-4E41-99C0-14A144F07DFE,F0CA692E-B1CA-4AF2-B434-1AAE3A1355BB,"Wilson, Paul Alastair"
EPSRC,EP/G009732/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Zhang,Xunli,,http://orcid.org/0000-0002-4375-1571,,,,,Integrated Synthesis and Characterisation of Organic Nanoparticles Using Microfluidic Technology for Drug Delivery Applications,2009-03-27,2009-03-27,302167.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/G009732/1,7123DE28-4AB0-43BB-9E8A-672612180A72,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,4C306043-3DCB-4521-86C1-77D580E4AA30,
BBSRC,BB/P011365/1,University of Southampton,Clinical and Experimental Sciences,Fellowship,Loxham,Matthew,,,,,,,The Biological Effects of Shipping-Related Particulate Matter Air Pollution,2017-01-05,2017-01-05,301710.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=BB/P011365/1,0E047F34-339D-4954-B34D-39A87F2203AA,2512EF1C-401B-4222-9869-A770D4C5FAC7,30A429E3-83B7-4E41-99C0-14A144F07DFE,58EDC93F-7213-40E3-A065-DE56A1EFEDCC,
NERC,NE/N015703/1,University of Southampton,School of Ocean and Earth Science,Research Grant,Solan,Martin,,,,,,,Physical and biological dynamic coastal processes and their role in coastal recovery (BLUE-coast),2016-01-05,2016-01-05,301667.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=NE/N015703/1,A1E36104-40E6-495E-BA81-17836885BEA8,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,30A429E3-83B7-4E41-99C0-14A144F07DFE,AFFB5A85-DAC7-48F2-AE07-952481073BAA,
BBSRC,BB/I02447X/1,University of Southampton,School of Ocean and Earth Science,Research Grant,Bibby,Thomas,,http://orcid.org/0000-0003-1743-473X,,,,,Plug'n Play Photosynthesis for Rubisco Independent Fuels,2011-01-09,2011-01-09,300609.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=BB/I02447X/1,A607772F-DD05-459A-833B-E40EE42AE380,2512EF1C-401B-4222-9869-A770D4C5FAC7,30A429E3-83B7-4E41-99C0-14A144F07DFE,C56BEF26-3FB5-400E-8CFD-F6070887F701,
STFC,ST/T506424/1,University of Southampton,School of Physics and Astronomy,Training Grant,,,,,,,,,STFC Southampton Physics 2019 DTP,2019-01-10,2019-01-10,300470.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=ST/T506424/1,EDFFED34-4CE2-4390-B4BA-F1058FEC7077,D7F4F462-0518-4784-908A-D12633C139B3,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
EPSRC,EP/S017747/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Spearing,Simon,Mark,,,,,,Research Equipment at SOUthamptoN: Delivering Innovation in the Next Generation (RESOUNDING),2018-01-10,2018-01-10,300000.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/S017747/1,E4272CE6-D41E-4BB6-88AB-A4C1A773DF1A,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,FF592210-E27D-4F90-8566-118519C869F8,"Spearing, Simon Mark"
NERC,NE/T008814/1,University of Southampton,School of Ocean and Earth Science,Research Grant,Foster,Gavin,,,,,,,The Time Of flight Isotopic and elemental Concentration (TOPIC) Facility for nano- to micrometer scale analysis of Earth and anthropogenic materials,2019-01-10,2019-01-10,299999.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=NE/T008814/1,E56F2D7A-3CC3-4C7E-91E2-9363A186F601,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,30A429E3-83B7-4E41-99C0-14A144F07DFE,2AE9DA86-E362-4DBA-AB0B-AE45CE2736AD,
MRC,MR/J012343/1,University of Southampton,School of Geography,Fellowship,Wardrop,Nicola,Ann,,,,,,An integrated geospatial analysis framework for neglected zoonotic diseases,2012-01-07,2012-01-07,298858.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=MR/J012343/1,DAF3AAB2-D8CA-4D3D-B89C-D6098E041B78,C008C651-F5B0-4859-A334-5F574AB6B57C,30A429E3-83B7-4E41-99C0-14A144F07DFE,4415D9EB-162C-4A36-B6DB-42325553F409,"Wardrop, Nicola Ann"
EPSRC,EP/F05534X/1,University of Southampton,School of Chemistry,Research Grant,Bartlett,Philip,,,,,,,Plasmonic Interactions in Nano-Structured Voids,2009-01-19,2009-01-19,298844.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/F05534X/1,4DDDCDB2-C1E9-45DE-B53A-B5C3896DB351,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,E3AA8B7C-9F09-4FCD-AD90-2FFD91E4755C,
EPSRC,EP/M014029/1,University of Southampton,Optoelectronics Research Centre,Research Grant,Richardson,David,John,,,,,,SPATIO-TEMPORAL BEAM TAILORED FIBRE LASERS FOR ENERGY RESILIENT MANUFACTURING,2015-01-03,2015-01-03,298572.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/M014029/1,72450AEC-99F8-4134-8F86-DEE89224C284,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,3A138F39-F12F-4522-84DE-A13E155535B9,"Richardson, David John"
EPSRC,EP/F052669/1,University of Southampton,Electronics and Computer Science,Research Grant,Fischer,Bernd,,,,,,,Customization and Adaptation of Automatically Generated Code,2008-01-07,2008-01-07,297771.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/F052669/1,CBB89F6B-D792-4283-959A-20321B70BB99,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,6F7DA987-63E2-4825-B629-371CFEF931E0,
ESRC,ES/J018392/1,University of Southampton,School of Social Sciences,Research Grant,Evandrou,Maria,,,,,,,Understanding resilience in later life in a low resource setting,2012-10-31,2012-10-31,297763.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=ES/J018392/1,5FA5E411-63A8-4EBD-B306-0C3507F7B29E,924BE15C-91F2-4AAD-941A-3F338324B6AE,30A429E3-83B7-4E41-99C0-14A144F07DFE,52BC1F02-614D-4C52-A36C-F50653A0FB66,
BBSRC,BB/M011305/1,University of Southampton,School of Ocean and Earth Science,Research Grant,Bibby,Thomas,,http://orcid.org/0000-0003-1743-473X,,,,,14-PSIL: Plug and Play Photosynthesis for RuBisCO Independent Fuels,2015-05-01,2015-05-01,297422.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=BB/M011305/1,A0CB886B-9CA4-4098-88EE-94A9640C844C,2512EF1C-401B-4222-9869-A770D4C5FAC7,30A429E3-83B7-4E41-99C0-14A144F07DFE,C56BEF26-3FB5-400E-8CFD-F6070887F701,
EPSRC,EP/G003319/1,University of Southampton,Electronics and Computer Science,Research Grant,charlton,Martin,David,,,,,,Determination of suitable hosts for Rare-Earth doped planar upconversion waveguide lasers.,2009-04-20,2009-04-20,297334.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/G003319/1,FD8B1862-6A76-4483-90FA-425590FD2D53,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,B636963F-3362-47EF-B443-5EF0BF278A44,"charlton, Martin David"
BBSRC,BB/G01812X/1,University of Southampton,Development Origin of Health and Disease,Research Grant,Cagampang,Felino,Ramon,http://orcid.org/0000-0003-4404-9853,,,,,Role of clock genes in a mouse model for developmental origins of the metabolic syndrome,2009-01-08,2009-01-08,297008.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=BB/G01812X/1,D2045EB6-82C0-4665-9AD0-566941AE8916,2512EF1C-401B-4222-9869-A770D4C5FAC7,30A429E3-83B7-4E41-99C0-14A144F07DFE,4AD54A44-9BCE-4884-81C2-CCC8BD6EE9E1,"Cagampang, Felino Ramon"
ESRC,ES/P011764/1,University of Southampton,Sch of Geography & Environmental Sci,Research Grant,Power,Andrew,,http://orcid.org/0000-0002-3887-1050,,,,,Reclaiming social care: Adults with learning disabilities seizing opportunities in the shift from day services to community lives,2018-02-23,2018-02-23,296996.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=ES/P011764/1,61817177-36B9-4788-9A9B-02C6DB819183,924BE15C-91F2-4AAD-941A-3F338324B6AE,30A429E3-83B7-4E41-99C0-14A144F07DFE,0735ED8B-2354-44F9-B572-18542364AC81,
NERC,NE/P016782/1,University of Southampton,School of Physics and Astronomy,Research Grant,Fear,Robert,,,,,,,Space Weather Impacts on Ground Structures (SWIGS),2017-01-05,2017-01-05,296178.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=NE/P016782/1,3A5DF2E7-4245-479C-952F-C0C57549037F,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,30A429E3-83B7-4E41-99C0-14A144F07DFE,EE26D20C-153B-4EE6-86F3-209BC96129CB,
BBSRC,BB/H000658/1,University of Southampton,School of Chemistry,Research Grant,Khalid,Syma,,,,,,,OMSys: Towards a systems model of a bacterial outer membrane,2009-01-12,2009-01-12,295901.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=BB/H000658/1,B3A5DE48-7DE7-478D-9EEB-2679EE4C6550,2512EF1C-401B-4222-9869-A770D4C5FAC7,30A429E3-83B7-4E41-99C0-14A144F07DFE,AB306F06-3681-46EC-94F6-328FD3B3F634,
STFC,ST/M001903/1,University of Southampton,School of Physics and Astronomy,Research Grant,Scaife,Anna,Margaret,,,,,,SKA SDP,2013-01-10,2013-01-10,295463.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=ST/M001903/1,98C9E9CB-8003-461E-B739-9274862E9F1D,D7F4F462-0518-4784-908A-D12633C139B3,30A429E3-83B7-4E41-99C0-14A144F07DFE,2E452829-694E-4C5B-B893-B3B5F68E4BA9,"Scaife, Anna Margaret"
EPSRC,EP/I032576/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Sandham,Neil David,,,,,,,Ab initio hydrodynamic rough surface characterisation with applications,2011-01-04,2011-01-04,295250.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/I032576/1,CC12B724-B85F-4BFA-94FE-D4040A1ADECC,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,FF04A1E0-C54B-4B74-8C07-D74F591EC98F,
NERC,NE/M02072X/1,University of Southampton,School of Ocean and Earth Science,Research Grant,Lam,Phyllis,,,,,,,Controls over Ocean Mesopelagic Interior Carbon Storage (COMICS),2017-03-04,2017-03-04,294697.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=NE/M02072X/1,5C105B9B-2F84-4188-8E99-8AB183A4A784,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,30A429E3-83B7-4E41-99C0-14A144F07DFE,1648F3DA-8DD4-4B22-A725-4D36A955E151,
EPSRC,EP/J019208/1,University of Southampton,School of Chemistry,Research Grant,Hector,Andrew,Lee,,,,,,Controlled ensemble size - a new approach in nitride catalysis,2012-03-09,2012-03-09,294017.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/J019208/1,6951E0B7-2950-4C4D-9C89-FD84DAEBEECC,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,C57F0C2C-3CED-44FD-A998-E8D29F28264C,"Hector, Andrew Lee"
EPSRC,EP/L018659/1,University of Southampton,Electronics and Computer Science,Research Grant,Ng,Soon Xin,,,,,,,Cooperative Classical and Quantum Communications Systems,2014-10-31,2014-10-31,293485.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/L018659/1,15187AD9-078A-4421-964C-9BA2BD2BE20A,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,F29231DC-BFA4-4D18-9B99-6AEC0B92471F,
BBSRC,BB/D013682/1,University of Southampton,Development Origin of Health and Disease,Research Grant,Oreffo,Richard,,,,,,,HT chemical manipulation of foetal and adult stem cells - selection transfection and scaffold identification,2006-01-11,2006-01-11,292518.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=BB/D013682/1,D3E92D66-2FEF-41D7-8949-4781C58D9737,2512EF1C-401B-4222-9869-A770D4C5FAC7,30A429E3-83B7-4E41-99C0-14A144F07DFE,9ADAE0D7-4F9D-41F5-8C0A-E19BE06CA1E0,
EPSRC,EP/L021390/1,University of Southampton,Optoelectronics Research Centre,Research Grant,Eason,Robert,William,,,,,,Lasers making lasers,2014-01-04,2014-01-04,292331.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/L021390/1,B842F125-3ECD-40A3-AE32-2F2FAA661644,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,6326BDB1-F24C-4D56-92EF-9039A38B43A6,"Eason, Robert William"
EPSRC,EP/G030669/1,University of Southampton,School of Chemistry,Research Grant,Harrowven,David,,,,,,,Exploiting an Interrelationship between Axial and Planar Chirality in Natural Products Total Synthesis,2009-06-22,2009-06-22,292015.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/G030669/1,A9DAC0A5-87C6-4A2B-81D9-59C7AD1EF0CA,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,FE9E2933-6D5D-48C1-AE88-2C6BE7620CA7,
STFC,ST/R000719/1,University of Southampton,School of Physics and Astronomy,Research Grant,Fear,Robert,,,,,,,Magnetospheric Physics at Southampton,2018-01-04,2018-01-04,291678.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=ST/R000719/1,5EAD0C4D-0E36-44CB-AE97-BCA856D090A3,D7F4F462-0518-4784-908A-D12633C139B3,30A429E3-83B7-4E41-99C0-14A144F07DFE,EE26D20C-153B-4EE6-86F3-209BC96129CB,
EPSRC,EP/N004558/1,University of Southampton,Sch of of Electronics and Computer Sci,Research Grant,Hanzo,Lajos,,,,,,,Cooperative backhaul aided next-generation digital subscriber loops,2015-10-13,2015-10-13,291171.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/N004558/1,18ED5364-AAC5-4AE3-B6B7-F2AC03148F1E,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,D60F7247-44BF-47D1-91E3-B46606FF683C,
NERC,NE/N010396/1,University of Southampton,School of Ocean and Earth Science,Research Grant,Lohan,Maeve,Carroll,,,,,,The impact of Mid-Ocean Ridges on the Ocean's Iron cycle,2017-04-09,2017-04-09,291066.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=NE/N010396/1,86E98B21-46C4-4879-8176-65528F41C2A2,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,30A429E3-83B7-4E41-99C0-14A144F07DFE,A772948A-BEA1-423B-AB16-37A9E93148B6,"Lohan, Maeve Carroll"
BBSRC,BB/J000868/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Roose,Tiina,,,,,,,Truly Predicting Root Uptake of Water: Case Study with Wheat,2012-08-29,2012-08-29,290695.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=BB/J000868/1,6AA0DE53-78B9-4B20-9736-80E292225042,2512EF1C-401B-4222-9869-A770D4C5FAC7,30A429E3-83B7-4E41-99C0-14A144F07DFE,04F88D91-B5B6-4438-A912-550999C33070,
NERC,NE/J015075/1,University of Southampton,School of Ocean and Earth Science,Research Grant,Solan,Martin,,,,,,,A hierarchical approach to the examination of the relationship between biodiversity and ecosystem service flows across coastal margins.,2012-01-05,2012-01-05,290317.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=NE/J015075/1,B6512EE2-E8EE-4D22-B076-AD6ED136CA1F,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,30A429E3-83B7-4E41-99C0-14A144F07DFE,AFFB5A85-DAC7-48F2-AE07-952481073BAA,
EPSRC,EP/E002064/1,University of Southampton,Electronics and Computer Science,Research Grant,Zwolinski,Mark,,,,,,,Meeting the design challenges of the nano-CMOS electronics,2006-01-10,2006-01-10,289907.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/E002064/1,B16C7473-E85E-466B-9F1F-5186ABEE5600,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,79043B38-68B8-4C51-B341-25975D62EB5E,
EPSRC,EP/G056102/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Powrie,William,,,,,,,Infrastructure monitoring using passive remote imagery,2010-01-04,2010-01-04,288831.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/G056102/1,4C1C59C3-1791-416A-AA54-2A48DB6F4413,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,389A3135-6CF2-41C4-B4FD-FD3CE0D400C9,
EPSRC,EP/R030839/1,University of Southampton,School of Psychology,Research Grant,Stevenage,Sarah,,,,,,,Hummingbird: Human-machine integration for biometric authentication,2018-01-03,2018-01-03,288333.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/R030839/1,A9EEEFE2-A07E-47C3-B328-8168D4ED3690,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,EF96918C-59FD-4950-9EDC-B84FA3DC55A2,
EPSRC,EP/N020413/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Joseph,Phillip,,,,,,,QUIET AEROFOILS OF THE NEXT GENERATION,2016-01-05,2016-01-05,287665.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/N020413/1,ABADD8D8-C5FD-44BA-8751-AEFF31123565,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,9F98C196-49D7-4CAB-B292-FFAE144BDD5C,
EPSRC,EP/F035950/1,University of Southampton,Electronics and Computer Science,Research Grant,French,Mark,,,,,,,Robust Stability for Nonlinear Control: Analysis and Synthesis,2008-02-15,2008-02-15,287172.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/F035950/1,F47679E5-EE34-43C6-B37D-6E64EAE57BB9,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,3EFC71A1-90B1-401B-A66D-9BFDD499C60B,
BBSRC,BB/G009430/1,University of Southampton,School of Chemistry,Research Grant,Ganesan,A,,,,,,,Rational design and biological evaluation of cell-permeant small molecule agonists and antagonists of the NAADP receptor,2009-11-05,2009-11-05,286814.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=BB/G009430/1,6ECA6F1D-6D8E-4339-AB34-79344B003693,2512EF1C-401B-4222-9869-A770D4C5FAC7,30A429E3-83B7-4E41-99C0-14A144F07DFE,DF93FE0C-C15D-4DE5-A8D8-AB6491C24B5B,
MRC,MR/V002015/1,University of Southampton,Clinical and Experimental Sciences,Fellowship,Theodosiou,Anastasia,,http://orcid.org/0000-0002-0096-4825,,,,,Defining upper respiratory colonisation and microbiome evolution in mother-infant pairs following Neisseria lactamica inoculation in late pregnancy,2020-01-09,2020-01-09,285501.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=MR/V002015/1,8F8511F0-2082-4F15-8A5D-815933996E63,C008C651-F5B0-4859-A334-5F574AB6B57C,30A429E3-83B7-4E41-99C0-14A144F07DFE,70B45821-3A41-41E6-8B9B-710C5F819AF1,
EPSRC,EP/N006461/1,University of Southampton,Sch of Mathematical Sciences,Research Grant,Currie,Christine,Susan,,,,,,Dynamic Pricing in the Ferry Industry,2015-12-14,2015-12-14,285246.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/N006461/1,3A4F15AA-93E4-4C9F-8333-2BAD57DC9B3A,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,BBE8A494-4672-4520-A480-0DF4A965958B,"Currie, Christine Susan"
EPSRC,EP/G056765/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Mace,Brian,,,,,,,Estimation of structural dynamic parameters at higher frequencies using Bayesian methods,2009-05-10,2009-05-10,284248.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/G056765/1,8431E510-D3CD-4B28-ADB6-2C299D710125,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,9B6CF912-7CF4-4474-8A23-3E148F6F8C47,
BBSRC,BB/I006230/1,University of Southampton,School of Biological Sciences,Research Grant,Edwards,Richard,John,,,,,,Integrated in silico prediction of protein interaction motifs using interactome networks and high-resolution 3-dimensional structures,2011-06-29,2011-06-29,282807.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=BB/I006230/1,EBB9D066-D132-43F9-A0EF-659CF1999A8E,2512EF1C-401B-4222-9869-A770D4C5FAC7,30A429E3-83B7-4E41-99C0-14A144F07DFE,266500E7-584E-47EF-9B8E-118B78442B42,"Edwards, Richard John"
EPSRC,EP/G059101/1,University of Southampton,School of Mathematics,Research Grant,Brodzki,Jacek,,,,,,,Preventing wide-area blackouts through adaptive islanding of transmission networks,2010-01-01,2010-01-01,282463.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/G059101/1,ADBFD1F9-3A12-4137-B90B-8860FB785C1D,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,CA98E5BE-0831-4CC6-8D1F-40824EFA4307,
EPSRC,EP/J006920/1,University of Southampton,School of Mathematics,Research Grant,D'Alessandro,Giampaolo,,http://orcid.org/0000-0001-9166-9356,,,,,Q-Tensor models of defect dynamics in pure and doped liquid crystals,2012-01-10,2012-01-10,282054.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/J006920/1,F9BB00CA-4C49-458E-A0FD-048B018F6D72,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,02B9FB9E-1D71-49D8-B114-5C1B3114A143,
NERC,NE/L013509/1,University of Southampton,School of Ocean and Earth Science,Research Grant,Keir,Derek,,,,,,,"Rift volcanism: past, present and future",2014-01-10,2014-01-10,281946.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=NE/L013509/1,A9F3474F-FE6F-467A-9977-7FFE64E6D5FD,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,30A429E3-83B7-4E41-99C0-14A144F07DFE,A8B5CC94-F379-4D58-AF87-375C167C2CF3,
ESRC,ES/F000774/1,University of Southampton,School of Social Sciences,Research Grant,Skinner,Chris,,,,,,,Sustaining On-line Resources in Research Methods,2007-01-07,2007-01-07,281667.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=ES/F000774/1,86D46D2B-6893-433F-80BF-74AE17C25921,924BE15C-91F2-4AAD-941A-3F338324B6AE,30A429E3-83B7-4E41-99C0-14A144F07DFE,17A1E86E-8D6F-46A0-872D-BDD13B8D53AE,
