fullname,Department,aggregate funding
"Tallontire, Anne Marie",School of Earth and Environment,175768.0
"Harvey, Penelope Margaret",Social Sciences,175658.0
"Ward, Mitzi Jane",Research Support Services,175326.0
"Lark, Richard Murray",Sch of Biosciences,175135.0
"Dancer, Helen Elizabeth","Sch of Law, Politics and Sociology",174142.0
"Atkinson, Harriet Rachel",Sch of Humanities,173637.0
"Tattersdill, William James",English Drama American and Canadian Stu,172325.0
"Dikomitis, Lisa Anne-Marie",Inst for Primary Care and Health Sci,172077.0
"Kelemen, Mihaela Ligia",Research Institute for Social Sciences,171473.0
"Skoulding, Zoë Catherine","Sch of Language, Literature & Linguistic",170002.0
"Leyshon, Catherine Sylvia",Geography,169934.0
"Gerritsen, Anne Tjerkje",History,168922.0
"Hegarty, James Marcel",Religious and Theological Studies,168714.0
"Cragoe, Matthew Frind","Sch of History, Art History & Philosophy",167724.0
"Waters, Catherine Mary",Sch of English,167155.0
"Barker, Elton Thomas",Classical Studies,166783.0
"Carr, Indira Mahalingam",School of Law,166722.0
"Fomin, Maxim Sergeevitch",Sch of Languages & Literature,166592.0
"McCormick, Leanne Vivian","Sch of English, History and Politics",166418.0
"scragg, donald george",Arts Languages and Cultures,166339.0
"Morris, Lynda Edith",Research and Knowledge Transfer,165669.0
"Clarke, John Wedgwood",English,165200.0
"Hoskins, Andrew David",Adam Smith Research Foundation,165158.0
"Firnhaber-Baker, Justine Marie",History,163314.0
"Howard, Rosaleen Elizabeth",School of Modern Languages,162981.0
"Downham, Clare Elizabeth",Irish Studies,162437.0
"Watson, Debbie Lynette",Sch for Policy Studies,161560.0
"Hansen, Gitte Marianne",School of Modern Languages,160357.0
"Linn, Andrew Robert","Sch of English Lit, Lang and Linguistics",160204.0
"Osborne, Peter Gordon",Sch of Humanities,160162.0
"Hartley, Anthony Frank",School of Modern Languages and Cultures,159293.0
"Chow, Broderick D. V.",Arts and Humanities,159045.0
"Nesbitt, Eleanor Margaret",Institute of Education,158580.0
"Kember, Joe Edward",English,158287.0
"Spicer, Andrew Howard",Faculty of Creative Arts,158099.0
"Varley, Peter Justin",West Highland College UHI,157603.0
"Dobney, Keith Mark",Archaeology,157442.0
"Lynch, Gordon Alexander",Psychosocial Studies,157322.0
"Daybell, James Richard",Sch of Humanities & Performing Arts,157187.0
"Galloway, Susan Mary",School of Culture & Creative Arts,156530.0
"Ioris, Antonio Antonio",Cardiff School of Planning and Geography,155540.0
"Moore, Thomas Hugh",Archaeology,155408.0
"Brockington, Grace Ellen",School of Humanities,152756.0
"Hyams, Keith David",Politics,152675.0
"Dittmer, Jason Neal",Geography,152541.0
"McLean, Sheila Ann",School of Law,152219.0
"Mills, Jon Philip",Sch of Engineering,151759.0
"Breen, Colin Patrick",Sch of Environmental Sciences,151607.0
"Whitney, Bronwen Sarah",Fac of Engineering and Environment,151387.0
"Muers, Rachel Ellen",Theology,151263.0
"Pinchbeck, Daniel McGuire",Creative Technologies,151067.0
"Cullinane, Michael Patrick","Fac of Arts, Design and Social Sciences",150143.0
"Sutton, Deborah Ruth",History,149256.0
"Bramwell, Richard John",Criminology,148448.0
"Udeaja, Chika Emmanuel","Sch of Science,Engineering & Environment",148277.0
"Evans, Adrian Anthony",Sch of Life Sciences,147663.0
"Jefferies, Janis Kay",Constance Howard Res & Resrch Ctr in Tex,146873.0
"Brown, Andre George",Architecture,146544.0
"Hoskins, Andrew David",Sociology,146524.0
"Curtis, Elizabeth Mary",School of Education,146443.0
"Haselgrove, Colin Cliff",Sch of Archaeology and Ancient History,146374.0
"Wagner, Corinna Michelle",English,146172.0
"Pearson, Jessica Ann",Archaeology Classics and Egyptology,145289.0
"Linch, Kevin Barry",School of History,145090.0
"Fer, Briony Annette",History of Art,144460.0
"Nubi, Timothy Olugbenga",Cntr for Housing & Sustainable Develop,143820.0
"Williams, Paul Gerald",English,143778.0
"Deignan, Alice Helen",Sch of Education,143297.0
"Megarry, William Peter",Sch of Natural and Built Environment,143157.0
"Batchelor, Kathryn Elizabeth",French and Francophone Studies,142722.0
"Johnston, Stephen Andrew",Museum of the History of Science,142084.0
"Mackenzie, Simon Ross",School of Social & Political Sciences,141398.0
"Thonemann, Peter James",Classics Faculty,140998.0
"Baragwanath, Nicholas John",Music,140461.0
"Bayliss, Alexandra Louise",Biological and Environmental Sciences,139257.0
"Ó Briain, Lonán Cillian",Sch of Humanities,138633.0
"Lawlor, Robin Sean",Inter-Disciplinary Ethics Applied,137753.0
"Crang, Michael A",Geography,137408.0
"Fell, Alison Sarah",School of Modern Languages and Cultures,137324.0
"Bottoms, Stephen James",School of English,136238.0
"Pillai, Nicolas Raviraj",ADM Birmingham Sch of Media,135478.0
"Jamroziak, Emilia Maria",School of History,135419.0
"Bell, Melanie Jane",School of Media & Communication,133443.0
"Skoulding, Zoë Catherine",Sch of English,132496.0
"Brooks, Laura Jeanice",Faculty of Humanities,132369.0
"Taylor, Claire Louise","Cultures, Languages and Area Studies",130841.0
"Rose, Jeffrey Ian",History and Cultures,129650.0
"Howard, Deborah Janet",History of Art,128746.0
"Wareham, Andrew Franklin","Drama, Theatre and Performance",128661.0
"Jennings, Benjamin Ralph",Sch of Life Sciences,128364.0
"Osman, Ashraf Sir El Khatim",Engineering,127664.0
"studdert, david handcock",Sch of Social Sciences,127148.0
"Devilat, Bernadette Marie",Sch of Archit Design and Built Env,126818.0
"Campbell, Alastair McIntosh",Drama,126810.0
"Rose, Jeffrey Ian",Faculty of Health and Life Sciences,126284.0
"Wiggins, Alison Eve",College of Arts,125923.0
"Angelelli, Claudia Viviana",Sch of Social Sciences,125259.0
"Ormrod, William Mark",Centre for Medieval Studies,124245.0
"Pendlebury, John Robert",Architecture Planning and Landscape,123769.0
"Schaefer, Kerrie Vanessa",Drama,123748.0
"Ruiz, Pollyanna Elizabeth","Sch of Media, Film and Music",123407.0
"Islam, Muhammad Azizul",University of Aberdeen Business School,123312.0
"Clarke, Catherine A",School of Arts and Humanities,123116.0
"Trimble, Gail Christiana",Classics Faculty,123057.0
"Reid, Colin William",History,123048.0
"Gow, Andrew JAMES",War Studies,121160.0
"Bradley, Richard William",Philosophy,120007.0
"Fitzmaurice, Susan Mary",English,119814.0
"Cameron, Shona Mairi",Research and Knowledge Exchange Services,118620.0
"Taylor, Stephen John",History,118600.0
"Gilmore, Charlotte Louise",Business School,117234.0
"Gooday, Graeme John",School of PRHS,116593.0
"Thiara, Nicole W.",Sch of Arts and Humanities,116236.0
"Munt, Sally R","Sch of Media, Film and Music",115958.0
"Randall, Bryony Clare",School of Critical Studies,115247.0
"Neave, Caroline Fiona",Research Student Administration,115033.0
"Bodman, Sarah Louise",Fac of Arts Creative Ind and Education,114377.0
"Liggins, David Edward",Social Sciences,113518.0
"MacRaild, Donald MacLeod","Sch of English, History and Politics",111528.0
"Midgelow, Vida Lesley",School of the Arts,110100.0
"Johnson, Matthew Harry",Faculty of Humanities,110100.0
"Sumner, Mark Paul",Sch of Design,108571.0
"Curry, Anne Elizabeth",Southampton Law School,108447.0
"Venn, Edward John",Sch of Music,108306.0
"Bunn, Stephanie Joan",Philos Anthrop and Film Studies,107493.0
"Mooney, James Robert",Sch of Music,107381.0
"Endfield, Georgina Hope","Sch of Histories, Lanuages and Cultures",106354.0
"Murray, Lesley Patricia",Sch of Applied Social Sciences,106040.0
"Torrens, George Edward",Loughborough Design School,106007.0
"Oldfield, John Richard",Faculty of Humanities,105631.0
"Cross, Jamie Joseph",Sch of Social and Political Science,104900.0
"Green, Anna Elizabeth",History,104898.0
"Shilton, Siobhan Maria",School of Modern Languages,102878.0
"Topham, Jonathan Richard",Sch of Philosophy,102732.0
"Campbell, Hazel Jane",Research Office,101143.0
"Siebers, Johan Isaac",Sch of Journalism and Digital Comms,100011.0
"Hackney, Fiona Anne",The School of Communication Design,99851.0
"King, Peter John",History,98440.0
"Bright, Nigel Geoffrey",Faculty of Education,97875.0
"Mueller-Johnson, Katrin Ursula",Criminology,97814.0
"Cohen, Gidon Daniel",Government and International Affairs,97570.0
"Newbury, Darren Mark",BIAD Visual Communication,97326.0
"Kuti, Elizabeth Jane",Literature Film and Theatre Studies,97148.0
"Finkel, Irving Leonard",Middle East,96480.0
"Sweetman, Rebecca Jane",Sch of Greek Latin and Ancient History,96095.0
"Belford, Patricia Clare",Sch of Art & Design,95925.0
"Ashbee, Catherine Julia",Registry,95740.0
"Webber, Jonathan Mark",Sch of English Communication and Philos,95560.0
"Daniels, Rhiannon Jane",School of Modern Languages,95200.0
"Wolffe, John Russell",Faculty of Arts,95071.0
"Pahl, Kate Heron",Faculty of Education,94483.0
"Darling, James Richard","Sch of the Env, Geography & Geosciences",94291.0
"Schwarz, Katarina Louise",Sch of Politics & International Relation,94277.0
"Cantor, David James",School of Advanced Study,93412.0
"Jackson, Neil Mckerrow",Architecture,93183.0
"Krell, Mary Agnes","Sch of Media, Film and Music",92716.0
"Parker, Michael Richard",Sch of Journalism and Digital Comms,92403.0
"Boase-Beier, Jean Frances","Literature, Drama and Creative Writing",92141.0
"Bradley, Richard John",Archaeology,91984.0
"Johnston, Robert Alexander",Archaeology,91721.0
"Schofield, Tom William",School of Arts and Cultures,91532.0
"Zuntz, Ann-Christin Ann-Christin",Sch of Social and Political Science,90988.0
"Douglas, Caryn Jane",University of York,90729.0
"Caleshu, Anthony Peter",Sch of Humanities & Performing Arts,89698.0
"Leeder, Karen Jane",Medieval & Modern Languages Fac,88657.0
"Eagleton, Catherine Teresa",Library,88365.0
"Finglass, Patrick John",Classics,88237.0
"Coffey, John Robert",Sch of Historical Studies,88192.0
"Whitley, David Andrew",Faculty of Education,87971.0
"Pinnington, Bruce Douglas",Management School,86771.0
"Wilson Vasquez, Goya Irene",School of Modern Languages,86590.0
"Hadley, Dawn Marie",Archaeology,86449.0
"Daly, Ruth Susan",Finance Office,85954.0
"Cockin, Katharine Mary",Humanities,85751.0
"Parry, Benjamin James",Bath School of Art,85251.0
"Carter, Cynthia Luanne",Journalism Media and Cultural Studies,85013.0
"WYLIE, JOHN WILLIAM",Geography,84827.0
"Morgan, Kevin Andrew",Social Sciences,84768.0
"Mottram, Stewart James",English,84694.0
"Gibson, Ruth Elizabeth",Ctr for Dance Research,84378.0
"Nevola, Fabrizio James",Modern Languages Italian,84151.0
"Flynn, Alex James",Anthropology,84069.0
"Kelemen, Mihaela Ligia",Faculty of Humanities & Social Sciences,83948.0
"Branch, Adam Raphael",Politics and International Studies,83301.0
"Evans, Malcolm David",Law,83250.0
"PITE, Ralph Robert",School of Humanities,83212.0
"Keown, Michelle Maria",Sch of Literature Languages & Culture,83032.0
"Banks, Joseph Caxton",Faculty of Social Sciences & Humanities,82951.0
"Knifton, Robert Harry",Sch of Fine Art History of Art&Cult Stud,82879.0
"Haw, Kaye Frances",Sch of Education,82863.0
"Harrison Moore, Abigail Louise",Sch of Fine Art History of Art&Cult Stud,82565.0
"Wray, Alison Margaret",Sch of English Communication and Philos,82047.0
"Forsyth, William Leslie",ESALA - Edinburgh Sch of Architect &Land,81975.0
"Pedwell, Carolyn Elizabeth",School of Arts and Cultures,81614.0
"Gregory, Dominic Ian",Philosophy,81566.0
"Fisher, Fiona Elizabeth",Sch of Art and Design History,81272.0
"Hurley, Ursula Kate",Sch of Arts & Media,81002.0
"Matulis, Brett Sylvester","Sch of Geog, Geol & the Environment",80643.0
"Findlay, Alison Gail",English and Creative Writing,80642.0
"Coleman, Peter Georgiiy",School of Psychology,80499.0
"Bedwell, Benjamin Daniel",School of Computer Science,80353.0
"Mac Ionnrachtaigh, Feargal Eamonn","Sch of Arts, English and Languages",80334.0
"Gordon-Nesbitt, Rebecca Joanne",Cultural Institute,80302.0
"Parraman, Carinna Elizabeth",Fac of Arts Creative Ind and Education,80218.0
"Southall, Humphrey Richard",Geography,80216.0
"Johnston, Helen Louise",Social Sciences,80163.0
"Mansell, James Gilbert","Sch of Cultures, Languages & Area Studie",80152.0
"McMahon, Wendy Jayne","Art, Media and American Studies",80076.0
"Milton-Edwards, Beverley Janette",Sch of Politics Int Stu and Philosophy,80047.0
"Bradley, Laura Jennian",Sch of Literature Languages & Culture,80017.0
"JEANNEROD, Dominique François",Sch of Modern Languages,80006.0
"Higbee, William Edward",Modern Languages,80004.0
"Oldfield, John Richard",History,79901.0
"Douglas, G F",Cardiff Law School,79862.0
"Sweet, Rosemary Helen",Sch of Historical Studies,79801.0
"Hackney, Fiona Anne",Faculty of Arts,79430.0
"Hughes, John James",School of Engineering,79349.0
"Fisher, Jonathan Vincent",IDD,79158.0
"Muers, Rachel Ellen",Sch of Theology & Religious Studies,79078.0
"Smith, Laura Grace",Psychology,78942.0
"Sylvester, Louise Miriam",Faculty of Social Sciences & Humanities,78925.0
"Edwards, Lee Moya",Media and Communications,78174.0
"Lewis, Simon George",Geography,77956.0
"Allen, Lori A",Asian and Middle Eastern Studies,77905.0
"Kehoe, Andrew Joseph",ADM Sch of English,77225.0
"Munton, Alan Guy",Sch of Art & Media,76655.0
"Green, Michael Murray","Fac of Arts, Design and Social Sciences",76634.0
"Mondal, Anshuman Ahmed",Sch of Arts,75750.0
"Sunikka-Blank, Minna Marjaana",Architecture,75350.0
"Yee, Joyce S R","Fac of Arts, Design and Social Sciences",75140.0
"Styles, John Anthony",Social Sciences Arts and Humanities RI,75079.0
"Alexander, Claire Elice",Sociology,75057.0
"Story, Alan Charles",Kent Law School,74880.0
"Jones, Rhys Alwyn",Inst of Geography and Earth Sciences,74418.0
"Dixon, Deborah Phyllis",School of Geographical & Earth Sciences,74179.0
"Williamson, Beth Ann",School of Arts,74099.0
"Harvey, Elizabeth Ruth",History,74034.0
"Doonan, Roger Christopher",Archaeology,73547.0
"Lawrence-Mathers, Anne Elizabeth",History,73295.0
"Popple, Simon Edward",Institute of Communication Studies,73027.0
"Paterson, Justin Lowe",London College of Music,72224.0
"ffitch, John Peter",Computer Science,72148.0
"Hoskins, Andrew David","Sch of Cultures, Languages & Area Studie",72100.0
"Gallagher, Michael David",School of Geographical & Earth Sciences,71041.0
"Durose, Catherine Elizabeth",INLOGOV,71032.0
"James, Sarah Edith",Faculty of Arts and Humanities,70798.0
"Pearson, Michael John",Theatre Film and Television Studies,70263.0
"Tarte, Ségolène Marie",Oxford e-Research Centre,69931.0
"Bowen, Huw Vaughan",School of Arts and Humanities,69757.0
"Clarke, Catherine A",School of Humanities,69590.0
"Newbury, Darren Mark",ADM Visual Communication,69585.0
"Heffernan, Michael John",Sch of Geography,69506.0
"Dennis, Flora Marian","Sch of History, Art History & Philosophy",69471.0
"Bottoms, Stephen James",Arts Languages and Cultures,69177.0
"Campbell, Emma Elizabeth",French Studies,68592.0
"Roe, Emma Jane",School of Geography,68527.0
"Bravo, Michael Trevor",Scott Polar Research Institute,68435.0
"Chrisman, Matthew Tate",Sch of Philosophy Psychology & Language,68158.0
"Molloy, Seán Patrick",Sch of Social and Political Science,68120.0
"Cockin, Katharine Mary",English,67730.0
"Morkot, Robert George",Archaeology,67105.0
"Harris, James Anthony",Philos Anthrop and Film Studies,66935.0
"Costambeys, Marios James",Sch of History,66876.0
"Potter, Matthew Charles","Fac of Arts, Design and Social Sciences",66869.0
"Jaeger, Peter Cyril",English and Creative Writing,66725.0
"Barker, Elton Thomas",Classics Faculty,66724.0
"Pike, Mark Andrew",Sch of Education,66037.0
"McManus, Clare Margaret","Drama, Theatre and Performance",65876.0
"Toulson, Edwin Robert",Fac of Arts Law and Social Sciences,64159.0
"Roesner-Lagao, David Philip",Drama,64072.0
"Sleigh, Charlotte Lydia",Sch of History,63932.0
"Downing, Niamh Catherine",The School of Writing and Journalism,63828.0
"Gearon, Liam Francis",Unlisted,63788.0
"Leggott, James Edward","Fac of Arts, Design and Social Sciences",63742.0
"Smith, Martin James",School of Humanities,63515.0
"Seligmann, Matthew Simeon",School of Social Science,63346.0
"Banks, Sarah Jane",School of Applied Social Sciences,63224.0
"Greenbank, Kevin Mark",Asian and Middle Eastern Studies,63023.0
"Harrison, Peter Duncan",Theology and Religion Faculty,62606.0
"Chapman, Jane Louise",College of Arts,61833.0
"Child, Timothy William",Philosophy,61758.0
"Wilson, James George",SLMS Research Support Centre,61733.0
"Lockley, Timothy James",History,61437.0
"Crosby, Henrietta Kate Kate",Study of Religions,61143.0
"Escolme, Bridget Mary",Drama,61050.0
"Wright, Alison Jane",History of Art,61050.0
"Owens, Alastair John",Geography,61036.0
"Marsh, Benjamin John",History and Politics,60996.0
"Makovicky, Nicolette Milota",Area Studies,60797.0
"Bucknall, Joanna Jayne",English Drama American and Canadian Stu,60398.0
"Pettitt, Clare Jane",English Language and Literature,60250.0
"Woods, Abigail Louise","Humanities - Ctr for History of Sci, Tec",60250.0
"Swords, Jon Gabriel",Fac of Engineering and Environment,60152.0
"Bowden, William Alexander",Sch of Humanities,60148.0
"Wilson, Scott David",Languages  Cultures  Art History & Music,60100.0
"Bates, Victoria Louise",School of Humanities,59375.0
"Finch, Helen Cleugh",School of Modern Languages and Cultures,59322.0
"Mahlberg, Michaela Agnes",English Drama American and Canadian Stu,59236.0
"Brookshaw, Dominic Parviz",Arts Languages and Cultures,59150.0
"Loudon, Gareth Hugh",Cardiff School of Art and Design,59000.0
"Kennedy, Helen Wendy",School of Media,58805.0
"Mellor, David Alan","Sch of History, Art History & Philosophy",58696.0
"Lloyd, Sarah Victoria",Social Sciences Arts and Humanities RI,58007.0
"Jones, Mari Catrin",French,57531.0
"Petrie, Cameron Andrew",Archaeology,57264.0
"Medhurst, James Lynton",Theatre Film and Television Studies,57218.0
"Robb, David George",Sch of Modern Languages,57130.0
"Goodman, Michael Simon",War Studies,56905.0
"Smyth, Karen Elaine","Literature, Drama and Creative Writing",56903.0
"Moon, Antonia Jane",Director of Scholarship and Collections,56530.0
"Hughson, John Ewing",Sch of Sport Tourism and the Outdoors,55733.0
"Nkiko, Cedric Marvin",Online Learning,55312.0
"Hammer, Martin Anthony",Edinburgh College of Art,55146.0
"Hunter, Victoria Margaret",Sch of Performance & Cultural Industries,55146.0
"Simpson, Patricia Anne",Social Sciences Arts and Humanities RI,55146.0
"Weedon, Christine Mary",Sch of English Communication and Philos,55050.0
"Clough, Paul David",Information School,55050.0
"McCardle, John Richard",Loughborough Design School,55050.0
"Prettejohn, Elizabeth Francesca",School of Humanities,55050.0
"Mills, James Henry",History,54577.0
"Hamilton, Cynthia Ann",Faculty of Arts and Humanities,54433.0
"Galt, Rosalind Ann","Sch of Media, Film and Music",54312.0
"Messer, Neil Gavin",Theology and Religious Studies,54250.0
"Darvill, Timothy Charles",Faculty of Science and Technology,54250.0
"Starkey, David John",History,54250.0
"Mansfield, Nicholas Andrew",Sch of Education and Social Sciences,54250.0
"Pollock, Venda Louise",School of Arts and Cultures,54250.0
"Schaap, Andrew Willem",Politics,53655.0
"Lorenz, Katharina Gisela",Classics,53491.0
"White, Simon John","Faculty of Tech, Design and Environment",53489.0
"Cuffy, Violet Vyline",Institute of Tourism Research,53426.0
"Merriman, Peter Richard",Inst of Geography and Earth Sciences,53207.0
"Kindersley, Nicola Dawn",History,53171.0
"Power, Henry Charles",English,53011.0
"Durose, Catherine Elizabeth",Politics and Public Policy,51670.0
"Grabbe, Lester L",Humanities,51383.0
"Wallace, David Mark",Philosophy,51351.0
"Buckler, Alison Sarah","Faculty of Wellbg, Educ & Lang Sci(WELS)",51257.0
"Pattison, George Linsley",Theology and Religion Faculty,51014.0
"Reyland, Nicholas William",Faculty of Humanities & Social Sciences,50994.0
"Milligan, Lizzi Okpevba",Education,50921.0
"Bramwell, Richard John",Social Sciences,50641.0
"Chitty, Andrew Edward","Sch of History, Art History & Philosophy",50396.0
"Varley, Peter Justin",Napier University Business School,50266.0
"Nevola, Fabrizio James","Faculty of Tech, Design and Environment",49963.0
"Blackburn, Manuella Ruth",Faculty of Arts and Humanities,49679.0
"Kennedy, David Gerard",English,49677.0
"Dinter, Martin Tobias",Classics,49583.0
"Ward, Susan Patricia",Research Support Office,48884.0
"Mullany, Louise Jane",School of English,48702.0
"Ryan, Maria Jacinta","Sch of Cultures, Languages & Area Studie",48641.0
"Wilson, Jon Edward",History,48565.0
"Grady, Monica Mary",Physical Sciences,48396.0
"Cooke, Peter David",Arts Languages and Cultures,48291.0
"Brownlee, Kimberley Lauren",Social Sciences,48257.0
"JONES, Richard Luther",Sch of Historical Studies,48248.0
"Ahmed, Rehana Sara",Sch of  Arts and Media,48062.0
"Brown, Katherine Emily",School of Philosophy Theology & Religion,47985.0
"Brotton, Jeremy Richard",English,47718.0
"Boon, Timothy Martyn",Science Museum Research,46856.0
"Wenell, Karen Judith",School of Philosophy Theology & Religion,46399.0
"Noxolo, Patricia Elaine",Geography,46366.0
"Lewis, Joanna Elizabeth",International History,45929.0
"Blencowe, Claire Peta",Sociology,45521.0
"Willneff, Elizabeth Anne",Sch of Design,45368.0
"Mitchell, Rebecca N",English Drama American and Canadian Stu,45159.0
"Grewal, Kiran Kaur",Sociology,44971.0
"Jary, Mark John","Media, Culture and Language",44447.0
"Meredith, Stephen Clive",Sch of Education and Social Sciences,44048.0
"Brigstocke, Julian John",Sch of Geog Earth & Environ Sciences,43842.0
"Griffiths, Katherine Sian",School of Modern Languages,43180.0
"hillis, peter leslie",Education,42960.0
"Dixon, Simon Neil","College of Soc Scien, Arts & Humanities",42351.0
"Edwards, David N",Sch of Archaeology and Ancient History,42269.0
"Gough, Kathleen Maguire",School of Culture & Creative Arts,41884.0
"Foley, Michael Stewart",History,41813.0
"Peacock, James Harvey",Inst for Humanities,41700.0
"Maguire, Richard Charles",History,41639.0
"Gardner, Andrew Niall",Institute of Archaeology,40978.0
"Henderson, Ian Robert",Menzies Centre for Australian Studies,40978.0
"Moore, James Robert",Inst of Historical Research,40978.0
"Altehenger, Jennifer Elisabeth",History Faculty,40744.0
"Bullock, Jamie Bryan",ADM Birmingham Conservatoire,40285.0
"Flinders, Matthew Vincent",Politics,40165.0
"Weir, Todd Hagman",Sch of History and Anthropology,40155.0
"Walters, Andrew Thomas",Product Design and Development Research,39849.0
"Rowett, Catherine Joanna",Philosophy,39847.0
"Tallack, Douglas Graham","Sch of Cultures, Languages & Area Studie",39590.0
"Hughes, Edward Dudley","Sch of Media, Film and Music",39385.0
"Harvey, Louise Teresa",Sch of Education,39350.0
"Hyde, Joseph Isambard",Sch of Music and the Performing Arts,39328.0
"Newey, Katherine Mary",Drama,39188.0
"Johnson-Jones, Erma Jean",Dance,39077.0
"Kelly, Barbara Lucy",Inst for Humanities,39003.0
"Matthews, Peter John",Applied Social Science,38941.0
"Williams, Alastair John",Inst for Humanities,38790.0
"Fillis, Ian Ronald",Marketing and Retail,38556.0
"Wodehouse, Andrew James",Design Manufacture and Engineering Man,38444.0
"Gordon-Nesbitt, Rebecca Joanne",Arts for Health,38427.0
"Harwood, Tracy Gaynor",Faculty of Technology,38359.0
"Oancea, Alis Elena",Education,38291.0
"Wilson, Adrian Finlay",Sch of Philosophy,38241.0
"Strickland, Matthew James",School of Humanities,38165.0
"Edelman, Joshua Andrew",Faculty,38022.0
"Clarke, James Alexander",Philosophy,37871.0
"Chase, Malcolm Sherwin",School of History,37478.0
"Piccini, Angela Ann",School of Arts,37306.0
"Chapman, James Robert",History of Art and Film,36978.0
"Kerswill, Paul Edward",Linguistics and English Language,36978.0
"Clery, Emma Juliet",Faculty of Humanities,36978.0
"Fitzgerald, Timothy Fellowes",Languages Cultures and Religions,36978.0
"Fielding, Steven John",Sch of Politics & International Relation,36978.0
"Colston, Belinda Jayne",School of Health and Social Care,36978.0
"Hughes, Jeffrey Alan",Life Sciences,36978.0
"Thomson, Alexander John",Sch of Literature Languages & Culture,36978.0
"Barker, Martin John",Theatre Film and Television Studies,36978.0
"Kappenberg, Claudia Maria","School of Art, Design and Media",36959.0
"Fitch, Fabrice Julian",Research Office,36933.0
"Conboy, Martin Dermot",Journalism Studies,36859.0
"Butterfield, Ardis Ruth",English Language and Literature,36840.0
"Hands, Joss Noel",Fac of Arts Law and Social Sciences,36471.0
"Holroyd, Amy Twigger",Sch of Art and Design,36417.0
"Willie, Rachel Judith",Sch of Humanities and Social Science,36379.0
"Andrews, Kehinde Nkosi",ELSS Sch of Social Sciences,36338.0
"Kurtz, Donna Carol",Oxford e-Research Centre,36305.0
"Clarke, Michele Louise",Sch of Geography,36290.0
"Hufnagel, Saskia Maria",Sch of Law,36273.0
"Downing, Niamh Catherine",College of Social Sciences and Arts,36268.0
"Watson, Nicola Jane",Faculty of Arts and Social Sci (FASS),36257.0
"Leask, Nigel James",School of Critical Studies,36224.0
"Burrows, George Edward","Sch of Art, Design and Performance",36212.0
"Watson, Janet Constance","Sch of Languages, Cultures and Societies",36201.0
"Freedman, Rosa Anne",Sch of Law,36200.0
"Liggins, Andrea Mahala",School of Fine Art and Photography,36113.0
"Marschner, Joanna Mary",Kensington Palace,36110.0
"Garrington, Abigail Georgina",English Studies,36078.0
"Hicks, Jonathan Edward",School of Arts and Cultures,36044.0
"Rigby, Nigel Colin",Research,35993.0
"Millard, Douglas John",Science Museum Research,35957.0
"Farthing, Stephen Frederick",Research Management,35957.0
"Dickinson, Patrick Leigh",College of Sciences,35930.0
"Creasy, Matthew Henry",School of Critical Studies,35896.0
"Nicholls, David Roy",Faculty of Humanities,35791.0
"Whiting, Daniel James",School of Humanities,35771.0
"Barber, Alexander William",Faculty of Arts and Social Sci (FASS),35703.0
"Steinert, Johannes Dieter","Sch of Law, Social Sciences and Comm",35611.0
"Skoulding, Zoë Catherine",College of Arts and Humanities,35548.0
"Mein, Andrew Renton",Divinity,35520.0
"Skinner, Quentin Robert",History,35422.0
"Pringle, Reginald Denys","Sch of History, Archaeology & Religion",35339.0
"Beaney, Michael Anthony",Philosophy,35337.0
"Sowerby, Tracey Amanda",History Faculty,35329.0
"O Baoill, Donall P.","Sch of Arts, English and Languages",35312.0
"Brownlee, Kimberley Lauren",Philosophy,35257.0
"Gearon, Liam Francis",Education,35237.0
"Grant, Susan-Mary Cunningham",Historical Studies,35103.0
"Williams, Andrew David",Philosophy,35050.0
"Leslie, Esther Rose","English, Theatre and Creative Writing",34824.0
"White, Gregor Duncan",Sch of Arts Media and Computer Games,34810.0
"White, Nicholas James",French,34703.0
"Harris, Rachel Andromache",Music,34632.0
"Williams, Caroline Anne",School of Modern Languages,34622.0
"Orr, Mary Margaret",Faculty of Humanities,34613.0
"Robinson, Robb Norman",History,34568.0
"Harris, Andrew James",Geography,34566.0
"Weiler, Bjorn Klaus Udo",History and Welsh History,34463.0
"Marsden, Heather Lynn",Language and Linguistic Science,34434.0
"Schultze-Berndt, Eva Friederike",Arts Languages and Cultures,34369.0
"Hicks, Jonathan Edward",Music,34144.0
"Middleton, Peter Leigh",Faculty of Humanities,34121.0
"Bailey, Douglass W","Sch of History, Archaeology & Religion",34043.0
"Larvor, Brendan Philip",Social Sciences Arts and Humanities RI,33922.0
"Harrison, Stephen Hugh",School of Humanities,33906.0
"Rogers, Andrew Paul",Humanities,33788.0
"Divall, Colin Michael",National Railway Museum Research,33730.0
"O'Sullivan, Deirdre Mary",Sch of Archaeology and Ancient History,33698.0
"Gledhill, Christine Ann",Arts and Design,33652.0
"Read, Peter Francis",Sch of European Culture and Languages,33557.0
"Lambert, Catherine Ruth",Sociology,33532.0
"Beverley, Katharine Jane",Product Design and Development Research,33384.0
"Messenger Davies, Maire J",School of Media Film and Journalism,33372.0
"Johnston, Colin Peter",Philosophy,33368.0
"Cole, A M",School of Modern Languages,33295.0
"Baines, Paul Timothy",English,33267.0
"Tomlin, Elizabeth Jane",English Drama American and Canadian Stu,33140.0
"Brooks, William Sydney","Politics, Languages and Int Studies",33106.0
"Langslow, David Richard",Arts Languages and Cultures,33067.0
"Reisz, Emma Georgiana","Sch of Hist, Anthrop, Philos & Politics",32867.0
